DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
PRÁTICA PRODUTOS S.A.,08574411000100,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",2024-12-31,298099000.0,101566000.0,338466000.0,32623000.0,49553000.0,1.8854444672551838,1.1602406317074612,0.48998422293524313,0.09638486583585944,0.32120000787665165,0.10943679784232754,4.032502661664537,SAFE,0
NEXPE PARTICIPAÇÕES S.A,08613550000198,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2024-12-31,36561000.0,-185994000.0,114309000.0,-48496000.0,-27742000.0,0.13187203519948668,-0.008398120369474285,0.4532626477355239,-0.42425355833748873,0.260739593750336,-1.3264407428680836,-33.143422628482725,DISTRESS,1
GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,08764621000153,Comércio (Atacado e Varejo),2024-12-31,1219757000.0,-1533916000.0,180492000.0,-815268000.0,-99775000.0,1.1290985935869218,-1.5667865776222427,0.6740464951355185,-4.51692041752543,0.5314945538086832,-0.6683855882770092,-1.0002079091181884,DISTRESS,1
VIRGO COMPANHIA DE SECURITIZAÇÃO,08769451000108,Securitização de Recebíveis,2024-12-31,78823000.0,56468000.0,28904000.0,20402000.0,5916000.0,4.176062392532547,0.12755897145285824,1.0,0.7058538610572931,0.36130197634058225,0.2588330817147279,7.46091496449044,SAFE,0
2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,08773135000100,Energia Elétrica,2024-12-31,1820195000.0,-474368000.0,535601000.0,-407042000.0,-41464000.0,0.13749445867917215,-3.3974108708850514,0.24654920360492233,-0.7599724421724381,0.858072213977334,-0.2236254906754496,-4.803329093057446,DISTRESS,1
CURY CONSTRUTORA E INCORPORADORA S.A.,08797760000183,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,4339295000.0,1309539000.0,3926310000.0,698812000.0,819680000.0,2.180970667178681,0.7532284261866199,0.3853338121544147,0.17798187101884466,0.5336320644135073,0.16104275003197524,4.1156769268288205,SAFE,0
SYN PROP & TECH S.A.,08801621000186,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2024-12-31,3148170000.0,1840842000.0,1357743000.0,659946000.0,834637000.0,5.208537143737901,0.4450773070149421,0.4222234988506661,0.486061058683418,0.3585022506005404,0.20962845081428258,5.988862382585102,SAFE,0
YDUQS PARTICIPACOES S.A.,08807432000110,Emp. Adm. Part. - Educação,2024-12-31,9938424000.0,3138960000.0,5351785000.0,341208000.0,917500000.0,1.7521549053595917,1.7859329204577312,0.6100971918714971,0.06375592442521513,0.1087009710222494,0.03433220397922246,1.8228787222317107,GREY,0
TRISUL S.A.,08811643000127,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2024-12-31,3042594000.0,1488057000.0,1346694000.0,174844000.0,200316000.0,4.740855572013155,0.552208685554384,0.278300786964225,0.12983201826101548,0.11749818723341915,0.0574654390299856,5.333916453582706,SAFE,0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,08827501000158,"Saneamento, Serv. Água e Gás",2024-12-31,44331033000.0,11403835000.0,14212394000.0,2396851000.0,5807716000.0,1.731487241075345,2.1730674812464406,0.49047936610820103,0.16864512762592987,0.21017938263750746,0.05406711366279238,2.19202214663388,GREY,0
CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.,08845676000198,Serviços Médicos,2024-12-31,2018357000.0,1007792000.0,954010000.0,54195000.0,124622000.0,1.5783552707417696,0.48751825773572327,0.3104443349650423,0.05680758063332669,0.05377597758267579,0.026851047659061305,2.6207585771968858,SAFE,0
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,08873873000110,Emp. Adm. Part. - Serviços Transporte e Logística,2024-12-31,28552573000.0,3878452000.0,9496782000.0,1014685000.0,3529201000.0,0.6796463884231309,5.013166077600032,0.4008050305882561,0.1068451397536555,0.26162113131734,0.03553742774775499,0.5379830567909051,DISTRESS,0
CSN MINERAÇÃO S.A.,08902291000115,Extração Mineral,2024-12-31,36390919000.0,10269114000.0,16496317000.0,4527718000.0,4967308000.0,2.363124086600721,0.9863285187018082,0.5135261404106141,0.2744684161925356,0.4409063917296078,0.12441889692315822,3.1842752515787143,SAFE,0
